stage,target,feature,weight
validation,Revenue,lag_364,0.3453888485621587
validation,Revenue,lag_365,0.2727167377238474
validation,Revenue,lag_371,0.03837653872912875
validation,Revenue,rolling_7,0.28215095632741527
validation,Revenue,rolling_30,0.046016303165798356
validation,Revenue,rolling_90,0.015350615491651499
validation,COGS,lag_364,0.20878939078319197
validation,COGS,lag_365,0.6013941107504336
validation,COGS,lag_371,0.03136532022821453
validation,COGS,rolling_7,0.0923228650008535
validation,COGS,rolling_30,0.0013520544972976426
validation,COGS,rolling_90,0.06477625874000857
final,Revenue,lag_364,0.45000000001
final,Revenue,lag_365,0.34999999992999997
final,Revenue,lag_371,0.05000000009
final,Revenue,rolling_7,0.09999999998
final,Revenue,rolling_30,0.029999999994
final,Revenue,rolling_90,0.019999999996
final,COGS,lag_364,0.2687945862902778
final,COGS,lag_365,0.5357590877759824
final,COGS,lag_371,0.03822887755790754
final,COGS,rolling_7,0.11181147379003308
final,COGS,rolling_30,0.023621008023669756
final,COGS,rolling_90,0.02178496656212946
