model_group,target,feature,importance
direct_lgbm,Revenue,baseline_prediction,334.0
direct_lgbm,Revenue,days_from_start,330.0
direct_lgbm,Revenue,rolling_30_yoy_growth,295.0
direct_lgbm,Revenue,dayofmonth,269.0
direct_lgbm,Revenue,yoy_lag_365_growth,193.0
direct_lgbm,Revenue,cos_7_1,136.0
direct_lgbm,Revenue,sin_30_5_1,136.0
direct_lgbm,Revenue,days_to_back_to_school,132.0
direct_lgbm,Revenue,cos_365_25_3,127.0
direct_lgbm,Revenue,yoy_lag_364_growth,125.0
direct_lgbm,Revenue,days_to_valentine,104.0
direct_lgbm,Revenue,days_to_tet_like,102.0
direct_lgbm,Revenue,days_to_12_12,95.0
direct_lgbm,Revenue,sin_365_25_3,92.0
direct_lgbm,Revenue,cos_30_5_1,91.0
direct_lgbm,Revenue,days_to_11_11,87.0
direct_lgbm,Revenue,sin_7_1,85.0
direct_lgbm,Revenue,days_to_christmas_year_end,85.0
direct_lgbm,Revenue,sin_30_5_2,71.0
direct_lgbm,Revenue,sin_365_25_1,65.0
direct_lgbm,Revenue,cos_365_25_1,65.0
direct_lgbm,Revenue,sin_7_2,64.0
direct_lgbm,Revenue,sin_365_25_2,59.0
direct_lgbm,Revenue,days_to_mid_year_sale,52.0
direct_lgbm,Revenue,sin_30_5_3,51.0
direct_lgbm,Revenue,days_to_10_10,51.0
direct_lgbm,Revenue,cos_7_3,49.0
direct_lgbm,Revenue,days_to_womens_day,49.0
direct_lgbm,Revenue,sin_7_3,45.0
direct_lgbm,Revenue,cos_30_5_3,39.0
direct_lgbm,Revenue,cos_365_25_2,39.0
direct_lgbm,Revenue,cos_30_5_2,35.0
direct_lgbm,Revenue,cos_7_2,18.0
direct_lgbm,Revenue,days_to_9_9,15.0
direct_lgbm,Revenue,weekofyear,14.0
direct_lgbm,Revenue,dayofweek,11.0
direct_lgbm,Revenue,days_to_new_year,11.0
direct_lgbm,Revenue,event_back_to_school,8.0
direct_lgbm,Revenue,month,5.0
