model,target,feature,importance,importance_share
lightgbm_trial_1,COGS,dayofmonth,520.0,0.09805770318687536
lightgbm_trial_1,COGS,COGS_lag_365,356.0,0.06713181218178389
lightgbm_trial_1,COGS,COGS_lag_1,310.0,0.058457476899868
lightgbm_trial_1,COGS,COGS_lag_7,236.0,0.04450311144635112
lightgbm_trial_1,COGS,COGS_roll_min_7,182.0,0.034320196115406376
lightgbm_trial_1,COGS,COGS_lag_14,177.0,0.033377333584763344
lightgbm_trial_1,COGS,Revenue_lag_365,176.0,0.033188761078634735
lightgbm_trial_1,COGS,dayofyear_sin,175.0,0.033000188572506126
lightgbm_trial_1,COGS,COGS_lag_30,173.0,0.032623043560248914
lightgbm_trial_1,COGS,Revenue_lag_1,163.0,0.03073731849896285
lightgbm_trial_1,COGS,Revenue_lag_7,161.0,0.03036017348670564
lightgbm_trial_1,COGS,Revenue_roll_std_7,143.0,0.02696586837639072
lightgbm_trial_1,COGS,gross_margin_lag_1,129.0,0.02432585329059023
lightgbm_trial_1,COGS,Revenue_roll_min_7,112.0,0.021120120686403922
lightgbm_trial_1,COGS,COGS_roll_std_7,112.0,0.021120120686403922
lightgbm_trial_1,COGS,cogs_to_revenue_lag_1,106.0,0.019988685649632285
lightgbm_trial_1,COGS,dayofweek_cos,104.0,0.01961154063737507
lightgbm_trial_1,COGS,Revenue_lag_14,103.0,0.019422968131246464
lightgbm_trial_1,COGS,cogs_expanding_mean,101.0,0.019045823118989252
lightgbm_trial_1,COGS,COGS_roll_mean_7,98.0,0.01848010560060343
lightgbm_trial_1,COGS,COGS_roll_mean_365,98.0,0.01848010560060343
lightgbm_trial_1,COGS,dayofyear,94.0,0.017725815576089005
lightgbm_trial_1,COGS,dayofweek_sin,92.0,0.017348670563831794
lightgbm_trial_1,COGS,COGS_roll_std_30,86.0,0.016217235527060156
lightgbm_trial_1,COGS,dayofweek,81.0,0.015274372996417122
lightgbm_trial_1,COGS,revenue_expanding_mean,81.0,0.015274372996417122
lightgbm_trial_1,COGS,COGS_roll_std_90,72.0,0.013577220441259665
lightgbm_trial_1,COGS,COGS_roll_std_365,68.0,0.012822930416745239
lightgbm_trial_1,COGS,Revenue_lag_30,67.0,0.012634357910616631
lightgbm_trial_1,COGS,Revenue_roll_mean_7,63.0,0.011880067886102207
lightgbm_trial_1,COGS,Revenue_roll_mean_365,57.0,0.010748632849330567
lightgbm_trial_1,COGS,Revenue_roll_mean_30,55.0,0.010371487837073355
lightgbm_trial_1,COGS,Revenue_roll_min_30,55.0,0.010371487837073355
lightgbm_trial_1,COGS,COGS_roll_min_30,55.0,0.010371487837073355
lightgbm_trial_1,COGS,dayofyear_cos,53.0,0.009994342824816142
lightgbm_trial_1,COGS,COGS_roll_mean_30,51.0,0.009617197812558929
lightgbm_trial_1,COGS,Revenue_roll_std_30,48.0,0.00905148029417311
lightgbm_trial_1,COGS,year,43.0,0.008108617763530078
lightgbm_trial_1,COGS,COGS_roll_max_7,42.0,0.00792004525740147
lightgbm_trial_1,COGS,Revenue_roll_std_365,40.0,0.007542900245144258
lightgbm_trial_1,COGS,Revenue_roll_std_90,37.0,0.006977182726758438
lightgbm_trial_1,COGS,Revenue_roll_max_7,36.0,0.006788610220629833
lightgbm_trial_1,COGS,is_quarter_end,30.0,0.005657175183858194
lightgbm_trial_1,COGS,Revenue_roll_min_365,27.0,0.005091457665472374
lightgbm_trial_1,COGS,COGS_roll_max_30,24.0,0.004525740147086555
lightgbm_trial_1,COGS,weekofyear_sin,23.0,0.0043371676409579485
lightgbm_trial_1,COGS,month_sin,19.0,0.0035828776164435225
lightgbm_trial_1,COGS,Revenue_roll_mean_90,18.0,0.0033943051103149163
lightgbm_trial_1,COGS,Revenue_roll_min_90,18.0,0.0033943051103149163
lightgbm_trial_1,COGS,weekofyear,17.0,0.0032057326041863097
lightgbm_trial_1,COGS,Revenue_roll_max_30,15.0,0.002828587591929097
lightgbm_trial_1,COGS,COGS_roll_mean_90,14.0,0.0026400150858004903
lightgbm_trial_1,COGS,COGS_roll_min_90,13.0,0.0024514425796718837
lightgbm_trial_1,COGS,COGS_roll_max_90,13.0,0.0024514425796718837
lightgbm_trial_1,COGS,weekofyear_cos,12.0,0.0022628700735432775
lightgbm_trial_1,COGS,Revenue_roll_max_365,12.0,0.0022628700735432775
lightgbm_trial_1,COGS,is_month_end,9.0,0.0016971525551574581
lightgbm_trial_1,COGS,Revenue_roll_max_90,9.0,0.0016971525551574581
lightgbm_trial_1,COGS,month,5.0,0.0009428625306430323
lightgbm_trial_1,COGS,month_cos,5.0,0.0009428625306430323
lightgbm_trial_1,COGS,is_month_start,3.0,0.0005657175183858194
lightgbm_trial_1,COGS,COGS_roll_min_365,3.0,0.0005657175183858194
lightgbm_trial_1,COGS,quarter,2.0,0.0003771450122572129
lightgbm_trial_1,COGS,COGS_roll_max_365,1.0,0.00018857250612860644
lightgbm_trial_1,COGS,is_weekend,0.0,0.0
lightgbm_trial_1,COGS,is_quarter_start,0.0,0.0
lightgbm_trial_1,COGS,is_year_start,0.0,0.0
lightgbm_trial_1,COGS,is_year_end,0.0,0.0
lightgbm_trial_1,Revenue,dayofmonth,558.0,0.10465116279069768
lightgbm_trial_1,Revenue,Revenue_lag_1,331.0,0.06207801950487622
lightgbm_trial_1,Revenue,COGS_lag_365,298.0,0.05588897224306077
lightgbm_trial_1,Revenue,Revenue_lag_7,236.0,0.04426106526631658
lightgbm_trial_1,Revenue,COGS_lag_1,197.0,0.03694673668417104
lightgbm_trial_1,Revenue,gross_margin_lag_1,194.0,0.036384096024006
lightgbm_trial_1,Revenue,dayofyear_sin,187.0,0.03507126781695424
lightgbm_trial_1,Revenue,Revenue_lag_365,174.0,0.032633158289572396
lightgbm_trial_1,Revenue,COGS_lag_7,158.0,0.029632408102025505
