table,date_column,min_date,max_date,missing_dates
reviews,review_date,2012-07-10,2022-12-31,0
sales,Date,2012-07-04,2022-12-31,0
web_traffic,date,2013-01-01,2022-12-31,0
customers,signup_date,2012-01-17,2022-12-31,0
inventory,snapshot_date,2012-07-31,2022-12-31,0
promotions,start_date,2013-01-31,2022-11-18,0
promotions,end_date,2013-03-01,2022-12-31,0
sample_submission,Date,2023-01-01,2024-07-01,0
orders,order_date,2012-07-04,2022-12-31,0
returns,return_date,2012-07-11,2022-12-31,0
shipments,ship_date,2012-07-04,2022-12-29,0
shipments,delivery_date,2012-07-06,2022-12-31,0
